task_order,stim_time,inter_stim_time,x_pos,y_pos,match,corr_key,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.started,stim_resp.stopped,response_sound.started,response_sound.stopped,feedback_sound.started,feedback_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
vSAT_stims-16529098615324342.csv,0.05,2,-0.25,0.25,0,left,0,1,1,1,0,7,7,7,130.12975189999997,None,132.12978509999994,None,left,1,0.6031599999998889,132.17977999999994,None,132.26311584,None,132.81311274,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.028999999999999998,2,-0.25,-0.25,0,left,0,1,1,1,0,8,8,8,133.32981769999992,None,135.32980329999987,None,left,1,0.47537390000002233,135.36315330000002,None,135.4465020400001,None,135.8631378400001,136.37983039999995,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.028999999999999998,3,0.25,0.25,0,left,0,1,1,1,0,9,9,9,136.39652690000003,None,139.39656530000002,None,left,1,0.3928987000001598,139.4298907,None,139.51321483999988,None,139.86322938,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,3,-0.25,0.25,1,right,0,1,1,1,0,10,10,10,140.37987440000006,None,143.37993890000007,None,right,1,0.280729699999938,143.42996169999992,None,143.51329244000004,None,143.74659348000012,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.028999999999999998,1,0.0,0.0,1,right,0,1,1,1,0,11,11,11,144.26331890000006,None,145.2633123999999,None,right,1,0.33419340000000375,145.29666120000002,None,145.37998234000003,None,145.66333008000004,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,2,-0.25,-0.25,0,left,0,1,1,1,0,12,12,12,146.17999469999995,None,148.18007439999997,None,left,1,0.8726575999999113,148.23004489999994,None,148.3133450399999,None,149.13003063999992,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,2,0.0,0.0,0,left,0,1,1,1,0,13,13,13,149.64671559999988,None,151.64677200000006,None,left,1,0.9588681000000179,151.68007579999994,None,151.76338674000004,None,152.66342003999995,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,2,-0.25,-0.25,1,right,0,1,1,1,0,14,14,14,153.1800905,None,155.18015349999996,None,left,0,0.33663479999995616,155.23014620000004,None,155.31349774000006,None,155.61346708000008,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,1,0.25,-0.25,0,left,0,1,1,1,0,15,15,15,156.13014090000001,None,157.1301747,None,left,1,0.7545445000000655,157.18016770000008,None,157.2635026399999,None,157.96350534000004,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.028999999999999998,3,0.25,-0.25,1,right,0,1,1,1,0,16,16,16,158.48020070000007,None,161.48022519999995,None,right,1,0.45326939999995375,161.5135459999999,None,161.59689673999998,None,162.01354778000007,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
