task_order,num_stim,match,corr_key,match_num,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,stim_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
ZB-match_1-16571317862935221.csv,8,0,left,1,0,1,1,1,0,12,12,12,139.77421570000024,140.2741958000006,left,1,139.77421570000024,139.77421570000024,0.40896729999985837,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,5,0,left,1,0,1,1,1,0,13,13,13,143.27426220000052,143.7742545000001,left,1,143.27426220000052,143.27426220000052,0.396772900000542,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,1,1,right,1,0,1,1,1,0,14,14,14,146.7743087000008,147.27431740000065,right,1,146.7743087000008,146.7743087000008,0.40085369999997056,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,1,1,right,1,0,1,1,1,0,15,15,15,150.27435210000021,150.77436770000077,right,1,150.27435210000021,150.27435210000021,0.43674340000052325,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,1,1,right,1,0,1,1,1,0,16,16,16,153.77442600000086,154.27443740000035,right,1,153.77442600000086,153.77442600000086,2.120867200000248,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,1,1,right,1,0,1,1,1,0,17,17,17,157.2744702000009,157.77448170000025,right,1,157.2744702000009,157.2744702000009,0.39659779999965394,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,9,0,left,1,0,1,1,1,0,18,18,18,160.77454120000039,161.2745429000006,left,1,160.77454120000039,160.77454120000039,0.43263310000020283,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,7,0,left,1,0,1,1,1,0,19,19,19,164.27459190000081,164.77459890000046,left,1,164.27459190000081,164.27459190000081,0.38840760000039154,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
ZB-match_1-16571317862935221.csv,,,,,0,1,1,1,,,,,,,,,,,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,6,0,left,,0,2,2,2,0,0,0,0,171.8080413000007,172.30801190000057,None,0,171.8080413000007,None,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,1,0,left,,0,2,2,2,0,1,1,1,175.3080931000004,175.80808670000079,left,1,175.3080931000004,175.3080931000004,0.42687840000053257,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,3,0,left,,0,2,2,2,0,2,2,2,178.8081486000001,179.30815810000058,left,1,178.8081486000001,178.8081486000001,0.44698410000000877,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,9,0,left,,0,2,2,2,0,3,3,3,182.30822250000074,182.80820050000057,left,1,182.30822250000074,182.30822250000074,0.4510117999998329,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,9,1,right,,0,2,2,2,0,4,4,4,185.8082568000009,186.30826050000087,right,1,185.8082568000009,185.8082568000009,0.45468389999950887,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,3,0,left,,0,2,2,2,0,5,5,5,189.30831370000033,189.80832240000018,left,1,189.30831370000033,189.30831370000033,0.49079689999962284,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,0,0,left,,0,2,2,2,0,6,6,6,192.8083583000007,193.3083690000003,left,1,192.8083583000007,192.8083583000007,0.38277539999944565,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,0,1,right,,0,2,2,2,0,7,7,7,196.30842120000034,196.8084187000004,right,1,196.30842120000034,196.30842120000034,0.5305501999991975,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,6,0,left,,0,2,2,2,0,8,8,8,199.80847150000045,200.3084746000004,left,1,199.80847150000045,199.80847150000045,0.5026621999995768,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,5,0,left,,0,2,2,2,0,9,9,9,203.30852790000063,203.8085273000006,left,1,203.30852790000063,203.30852790000063,0.5225062999998045,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,5,1,right,,0,2,2,2,0,10,10,10,206.80858160000025,207.30856360000053,right,1,206.80858160000025,206.80858160000025,0.574656299999333,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,5,1,right,,0,2,2,2,0,11,11,11,210.3086546000004,210.80866550000064,right,1,210.3086546000004,210.3086546000004,0.3703456000002916,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,6,0,left,,0,2,2,2,0,12,12,12,213.80867510000007,214.30869190000067,left,1,213.80867510000007,213.80867510000007,0.4224080000003596,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,6,1,right,,0,2,2,2,0,13,13,13,217.30871190000016,217.80875580000065,right,1,217.30871190000016,217.30871190000016,0.42639109999981883,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,6,1,right,,0,2,2,2,0,14,14,14,220.8087968000009,221.3088131000004,right,1,220.8087968000009,220.8087968000009,0.4143002000000706,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,6,1,right,,0,2,2,2,0,15,15,15,224.30880160000015,224.8088645000007,right,1,224.30880160000015,224.30880160000015,0.37040690000048926,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,8,0,left,,0,2,2,2,0,16,16,16,227.8089084000003,228.30890270000054,left,1,227.8089084000003,227.8089084000003,0.48632939999970404,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,4,0,left,,0,2,2,2,0,17,17,17,231.30896680000023,231.80897910000022,left,1,231.30896680000023,231.30896680000023,0.3620192999997016,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,4,1,right,,0,2,2,2,0,18,18,18,234.80901220000032,235.30901920000088,right,1,234.80901220000032,234.80901220000032,0.4300473000002967,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-1657131786840452.csv,9,0,left,,0,2,2,2,0,19,19,19,238.30908050000016,238.80907450000086,left,1,238.30908050000016,238.30908050000016,0.4339175000004616,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
